,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_poly__degree,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
38,4.533815463383992,0.04233462017534486,1.411952018737793,0.046010884806873764,6,1.0,"{'poly__degree': 6, 'ridge__alpha': 1.0}",-0.002266708994284272,-0.0022616302594542503,-0.002256584819406271,-0.002261641357714931,4.133184536458567e-06,18
39,4.594957192738851,0.10766392271258719,1.3874283631642659,0.02770229161522407,6,10.0,"{'poly__degree': 6, 'ridge__alpha': 10.0}",-0.0028523451182991266,-0.002841891022399068,-0.0028335724491626024,-0.0028426028632869325,7.680421634024128e-06,25
40,4.515572786331177,0.023941730626061322,1.3485365708669026,0.017244484978961642,6,100.0,"{'poly__degree': 6, 'ridge__alpha': 100.0}",-0.003953123930841684,-0.003935685381293297,-0.0039262012578547,-0.003938336856663227,1.1149897500845259e-05,33
41,4.5774986743927,0.13317714459011787,1.3648842970530193,0.024956821989867713,6,1000.0,"{'poly__degree': 6, 'ridge__alpha': 1000.0}",-0.005125265568494797,-0.005104509647935629,-0.0050861104391515255,-0.005105295218527317,1.5994663262850505e-05,39
42,52.97350160280863,11.230024312608336,3.362116734186808,2.6491129948186183,7,0.001,"{'poly__degree': 7, 'ridge__alpha': 0.001}",-0.0010734489187598228,-0.0010726385517045856,-0.0010702532017603517,-0.0010721135574082534,1.3564330782271787e-06,5
43,41.47192494074503,0.3156946255397461,1.833494504292806,0.02096437549715735,7,0.01,"{'poly__degree': 7, 'ridge__alpha': 0.01}",-0.001274445909075439,-0.0012727672001346946,-0.0012723219115287066,-0.00127317834024628,9.145558259421958e-07,7
44,56.71148673693339,7.558811030392055,3.416827996571859,2.5754865396551287,7,0.09999999999999999,"{'poly__degree': 7, 'ridge__alpha': 0.09999999999999999}",-0.0016869540559127927,-0.001683325506746769,-0.0016856323927640915,-0.0016853039851412177,1.4994401038685708e-06,12
45,7.334490617116292,0.18234811867525524,2.0704707304636636,0.03250632871905154,7,1.0,"{'poly__degree': 7, 'ridge__alpha': 1.0}",-0.0019839464221149683,-0.0019791394006460905,-0.0019859939347952604,-0.0019830265858521066,2.8729466480010786e-06,15
46,7.153565724690755,0.2546924867586877,2.02643354733785,0.040852891657384885,7,10.0,"{'poly__degree': 7, 'ridge__alpha': 10.0}",-0.002438882365822792,-0.0024312434252351522,-0.002427378436550498,-0.002432501409202814,4.779957456062878e-06,22
47,7.176025152206421,0.3461223551512147,2.008016665776571,0.02776408492284987,7,100.0,"{'poly__degree': 7, 'ridge__alpha': 100.0}",-0.0034220851957798004,-0.00340607319958508,-0.0034008296206593513,-0.003409662672008077,9.041132032065311e-06,27
48,7.485993305842082,0.21749744023081594,1.9994913736979167,0.21953216513639764,7,1000.0,"{'poly__degree': 7, 'ridge__alpha': 1000.0}",-0.004712533671408892,-0.004692062735557556,-0.004679979290813208,-0.004694858565926552,1.3436503130931833e-05,38
49,101.39387305577596,5.44884953513297,2.39969269434611,0.9660595329517908,8,0.001,"{'poly__degree': 8, 'ridge__alpha': 0.001}",-0.000902772240806371,-0.0009022753802128136,-0.0009009332279674709,-0.0009019936163288852,7.767604607705341e-07,2
50,101.52037111918132,2.726226382520327,2.924554427464803,0.6796131617684267,8,0.01,"{'poly__degree': 8, 'ridge__alpha': 0.01}",-0.0010691090719774365,-0.0010683629661798477,-0.0010660968255251646,-0.0010678562878941495,1.280871925995385e-06,4
51,107.571617603302,1.8054718774934475,3.675562540690104,1.3126332704823442,8,0.09999999999999999,"{'poly__degree': 8, 'ridge__alpha': 0.09999999999999999}",-0.0013807251816615462,-0.0013781172456219792,-0.0013792691752314568,-0.0013793705341716607,1.067095066895026e-06,8
52,17.057882070541382,5.807813743917366,4.886545976003011,2.1571170499098686,8,1.0,"{'poly__degree': 8, 'ridge__alpha': 1.0}",-0.001768577960319817,-0.0017623432213440537,-0.001770427799783647,-0.0017671163271491726,3.4585527590434283e-06,13
53,39.780935208002724,17.244372976165106,19.49579644203186,11.284363627581758,8,10.0,"{'poly__degree': 8, 'ridge__alpha': 10.0}",-0.0021422964055091143,-0.0021343789994716644,-0.002133494010195136,-0.0021367231383919716,3.957421826910414e-06,17
54,22.56624952952067,3.261478325117586,12.39988366762797,10.628384247355985,8,100.0,"{'poly__degree': 8, 'ridge__alpha': 100.0}",-0.003049983410164714,-0.0030361919198185205,-0.0030331613961607218,-0.003039778908714652,7.320970144880823e-06,26
55,21.157973686854046,1.1626805919564953,3.3333824475606284,1.083910256486689,8,1000.0,"{'poly__degree': 8, 'ridge__alpha': 1000.0}",-0.004374069161713123,-0.004354266915470362,-0.004346961621195078,-0.004358432566126187,1.1451904420201789e-05,35
56,150.78301525115967,4.343294953681303,2.0874245166778564,0.02038520387687396,9,0.001,"{'poly__degree': 9, 'ridge__alpha': 0.001}",-0.0008080138941295445,-0.000807891832664609,-0.0008059519459493458,-0.0008072858909144998,9.445569077086523e-07,1
57,160.3849867184957,7.903496249378033,2.030157963434855,0.06991406298193496,9,0.01,"{'poly__degree': 9, 'ridge__alpha': 0.01}",-0.0009289614390581846,-0.0009282327373512089,-0.0009260575170628726,-0.0009277505644907554,1.2335744104654093e-06,3
58,146.9050614039103,3.1795247830252444,2.164296547571818,0.09704003525448517,9,0.09999999999999999,"{'poly__degree': 9, 'ridge__alpha': 0.09999999999999999}",-0.0011870398884639144,-0.0011851330054923892,-0.0011848878348246217,-0.0011856869095936418,9.619220452256196e-07,6
59,31.57900857925415,7.193445208166408,2.475273847579956,0.15645921894856638,9,1.0,"{'poly__degree': 9, 'ridge__alpha': 1.0}",-0.0015753647312521935,-0.0015678139170631766,-0.0015655724564567208,-0.001569583701590697,4.188974765015093e-06,10
60,30.709941625595093,6.1430915264099415,2.419328292210897,0.3467027192924042,9,10.0,"{'poly__degree': 9, 'ridge__alpha': 10.0}",-0.0019314243691042066,-0.0019246693700551987,-0.0019248599419370294,-0.0019269845603654783,3.1403827407820512e-06,14
61,37.10427522659302,5.042600795729736,3.0973333517710366,0.9574428549189979,9,100.0,"{'poly__degree': 9, 'ridge__alpha': 100.0}",-0.0027751903980970383,-0.0027630170807242393,-0.0027616906445473433,-0.0027666327077895403,6.075382335410577e-06,23
62,34.98852698008219,3.6089221896658232,2.726919333140055,0.32156901876757393,9,1000.0,"{'poly__degree': 9, 'ridge__alpha': 1000.0}",-0.004092157352715731,-0.004073353949934244,-0.004069504793733358,-0.004078338698794444,9.896814235295266e-06,34
